Page_num,Team_name,Player_name,Squad_num
17,부산,이태민,20
17,서울,이태석,88
17,인천,이태희,21
17,성남,이태희,32
17,수원,이풍연,15
17,대구,이학윤,41
17,광주,이한도,20
17,서울,이한범,45
17,광주,이한샘,33
17,대전,이현식,17
17,충남아산,이현일,17
17,울산,이호,35
17,대전,이호빈,32
17,대전,이호인,5
17,포항,이호재,20
17,전남,이후권,16
17,광주,이희균,26
17,전북,일류첸코,10
17,대전,임덕근,25
17,경남,임민혁,8
18,전남,임민혁,36
18,포항,임상협,77
18,안양,임선영,55
18,안양,임승겸,4
18,대전,임은수,42
18,안산,임재혁,99
18,울산,임종은,36
18,광주,임진우,66
18,전남,임찬울,7
18,강원,임창우,23
18,안산,임채관,2
18,강원,임채민,26
18,제주,자와다,9
18,광주,장동찬,27
18,안산,장동혁,44
18,경남,장민준,66
18,전남,장성록,13
18,대구,장성원,38
18,전남,장성재,18
18,전남,장순혁,20
18,서울E,장윤호,34
18,경남,장하늘,26
18,경남,장혁진,7
18,부천,장현수,11
18,수원,장호익,35
18,수원FC,잭슨,5
18,포항,전민광,4
18,대전,전병관,28
18,수원,전세진,7
18,성남,전승민,15
18,안산,전용운,34
18,수원FC,전정호,24
18,부천,전종혁,1
18,김천,정동윤,45
19,수원FC,정동호,2
19,성남,정명제,31
19,안양,정민기,13
19,강원,정민우,13
19,인천,정산,1
19,수원,정상빈,29
19,성남,정석화,29
19,인천,정성원,40
19,대구,정승원,18
19,김천,정승현,22
19,제주,정우재,22
19,제주,정운,13
19,김천,정원진,7
19,수원FC,정재용,8
19,김천,정재희,17
19,안양,정준연,2
19,강원,정지용,15
19,경남,정창용,39
19,수원FC,정충근,19
19,대구,정치인,32
19,대구,정태욱,4
19,서울,정한민,19
19,인천,정혁,28
19,광주,정현우,23
19,안양,정현욱,29
19,김천,정현철,24
19,전남,정호진,15
19,제주,정훈성,2
19,대전,정희웅,29
19,대구,제갈재민,33
19,제주,제르소,11
19,수원,제리치,55
19,부천,조건규,19
19,김천,조규성,33
19,광주,조나탄,9
19,안양,조나탄,9
20,부천,조범석,10
20,수원FC,조상준,29
20,서울E,조상현,28
20,서울,조석영,3
20,제주,조성준,7
20,수원,조성진,5
20,포항,조성훈,41
20,부천,조수철,14
20,울산,조수혁,1
20,서울,조영욱,11
20,수원FC,조유민,20
20,강원,조윤성,20
20,부천,조윤형,28
20,안산,조인홍,25
20,강원,조재완,11
20,포항,조재훈,28
20,대구,조진우,66
20,울산,조현우,21
20,부천,조현택,26
20,부산,조혜성,32
20,제주,주민규,18
20,서울E,주현성,31
20,안양,주현우,99
20,서울,지동원,9
20,김천,지언학,50
20,강원,지의수,16
20,제주,진성욱,10
20,경남,진세민,14
20,부산,진필립,29
20,서울,차오연,66
20,경남,채광훈,2
20,서울E,채영현,16
20,서울,채프만,16
20,부산,천지현,72
21,안산,최건주,17
21,충남아산,최규백,23
21,포항,최도윤,33
21,대구,최민기,28
21,안양,최민서,98
21,인천,최범경,18
21,부천,최병찬,17
21,전북,최보경,6
21,수원FC,최봉진,13
21,수원,최성근,25
21,전남,최성진,32
21,안양,최승훈,42
21,대구,최영은,1
21,전북,최영준,4
21,인천,최원창,5
21,대전,최익진,14
21,부천,최재영,80
21,서울E,최재훈,23
21,수원,최정원,2
21,수원FC,최종환,61
21,부산,최준,21
21,김천,최준혁,38
21,성남,최지묵,34
21,전북,최철순,25
21,부천,최철원,81
21,부산,최필수,18
21,전남,최호정,55
21,전북,최희원,3
21,제주,추상훈,40
21,부천,추정호,16
21,대구,츠바사,44
22,강원,츠베타노프,71
22,전북,쿠니모토,17
22,부천,크리슬란,9
22,포항,크베시치,8
22,수원FC,타르델리,37
22,안양,타무라,23
22,포항,타쉬,7
22,대전,파투,77
22,포항,팔라시오스,82
22,서울,팔로세비치,26
22,인천,표건희,33
22,안양,하남,19
22,안양,하승운,17
22,김천,하창래,28
22,전북,한교원,7
22,강원,한국영,8
22,수원,한석종,6
22,수원,한석희,11
22,수원FC,한승규,66
22,충남아산,한용수,4
22,서울E,한의권,99
22,부산,한준규,24
22,경남,한지원,44
22,부천,한지호,22
22,김천,한찬희,47
22,광주,한희훈,4
22,강원,허강준,33
22,부산,허승찬,39
22,김천,허용준,8
22,광주,허율,29
22,성남,허자웅,1
22,부산,헤나토,70
22,광주,헤이스,17
22,수원,헨리,4
22,제주,홍성욱,15
23,서울E,홍승현,96
23,성남,홍시후,37
23,강원,홍원진,42
23,대구,홍정운,6
23,전북,홍정호,26
23,제주,홍준호,20
23,안양,홍창범,14
23,울산,홍철,33
23,충남아산,홍현승,29
23,안양,홍현호,45
23,전남,황기욱,6
23,강원,황문기,88
23,대구,황병권,25
23,전북,황병근,41
23,경남,황성민,1
23,대구,황순민,20
23,김천,황인재,51
23,경남,황일수,11
23,부산,황준호,45
23,서울E,황태현,2
23,서울,황현수,2
